         8397681 function calls (8397448 primitive calls) in 36.090 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   36.090   36.090 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:26(main)
        1   12.960   12.960   25.718   25.718 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:63(make_noise)
  8388608   12.758    0.000   12.758    0.000 {built-in method noise._perlin.noise3}
        1    7.199    7.199    7.199    7.199 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:119(add_color)
        1    0.000    0.000    1.748    1.748 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:163(image_output)
        1    0.000    0.000    1.656    1.656 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2182(show)
        1    0.000    0.000    1.656    1.656 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3152(_show)
        1    0.000    0.000    1.656    1.656 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3157(_showxv)
        1    0.000    0.000    1.653    1.653 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:46(show)
        1    0.000    0.000    1.653    1.653 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:66(show)
        1    0.000    0.000    1.653    1.653 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:105(show_image)
        1    0.000    0.000    1.594    1.594 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:109(show_file)
        1    1.594    1.594    1.594    1.594 {built-in method nt.system}
        1    1.336    1.336    1.336    1.336 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:107(refine_world)
        2    0.000    0.000    0.136    0.068 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2081(save)
        2    0.000    0.000    0.135    0.067 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PngImagePlugin.py:1132(_save)
        2    0.000    0.000    0.135    0.067 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageFile.py:484(_save)
       35    0.134    0.004    0.134    0.004 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.059    0.059 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:101(save_image)
        1    0.000    0.000    0.059    0.059 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:622(_dump)
        1    0.010    0.010    0.052    0.052 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:53(prepare_filter)
        1    0.000    0.000    0.035    0.035 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:101(interpolate_world)
        1    0.000    0.000    0.032    0.032 <__array_function__ internals>:2(interp)
      2/1    0.000    0.000    0.032    0.032 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.032    0.032 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\numpy\lib\function_base.py:1289(interp)
        1    0.032    0.032    0.032    0.032 {built-in method numpy.core._multiarray_umath.interp}
        1    0.000    0.000    0.021    0.021 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:860(convert)
     19/7    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     41/6    0.000    0.000    0.020    0.003 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     15/6    0.000    0.000    0.020    0.003 {built-in method builtins.__import__}
     23/6    0.000    0.000    0.020    0.003 <frozen importlib._bootstrap>:986(_find_and_load)
     23/6    0.000    0.000    0.020    0.003 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     23/6    0.000    0.000    0.019    0.003 <frozen importlib._bootstrap>:650(_load_unlocked)
     20/6    0.000    0.000    0.019    0.003 <frozen importlib._bootstrap_external>:777(exec_module)
       17    0.019    0.001    0.019    0.001 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.018    0.018 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2839(open)
        1    0.000    0.000    0.018    0.018 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageFile.py:150(load)
        3    0.000    0.000    0.018    0.006 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:347(preinit)
     20/6    0.000    0.000    0.015    0.002 {built-in method builtins.exec}
       20    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:849(get_code)
       20    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.008    0.008    0.008    0.008 {method 'astype' of 'numpy.ndarray' objects}
       20    0.007    0.000    0.007    0.000 {built-in method io.open_code}
