         2106252 function calls (2106019 primitive calls) in 18.140 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   18.140   18.140 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:27(main)
        1    7.916    7.916    7.916    7.916 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:120(add_color)
        1    3.798    3.798    6.942    6.942 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:64(make_noise)
  2097152    3.144    0.000    3.144    0.000 {built-in method noise._perlin.noise3}
        1    0.001    0.001    1.816    1.816 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:164(image_output)
        1    0.000    0.000    1.717    1.717 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2182(show)
        1    0.000    0.000    1.716    1.716 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3152(_show)
        1    0.000    0.000    1.716    1.716 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3157(_showxv)
        1    0.000    0.000    1.714    1.714 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:46(show)
        1    0.000    0.000    1.714    1.714 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:66(show)
        1    0.000    0.000    1.714    1.714 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:105(show_image)
        1    0.000    0.000    1.653    1.653 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:109(show_file)
        1    1.653    1.653    1.653    1.653 {built-in method nt.system}
        1    1.375    1.375    1.375    1.375 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:108(refine_world)
        2    0.000    0.000    0.146    0.073 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2081(save)
        2    0.000    0.000    0.145    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PngImagePlugin.py:1132(_save)
        2    0.000    0.000    0.144    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageFile.py:484(_save)
       37    0.144    0.004    0.144    0.004 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.062    0.062 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:101(save_image)
        1    0.000    0.000    0.062    0.062 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:622(_dump)
        1    0.012    0.012    0.056    0.056 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:54(prepare_filter)
        1    0.000    0.000    0.035    0.035 c:\Users\Blair\Documents\Programming\lake-generator\src\mapGen.py:102(interpolate_world)
        1    0.000    0.000    0.031    0.031 <__array_function__ internals>:2(interp)
      2/1    0.000    0.000    0.031    0.031 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.031    0.031 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\numpy\lib\function_base.py:1289(interp)
        1    0.031    0.031    0.031    0.031 {built-in method numpy.core._multiarray_umath.interp}
        1    0.000    0.000    0.021    0.021 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:860(convert)
     19/7    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     41/6    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     15/6    0.000    0.000    0.021    0.003 {built-in method builtins.__import__}
     23/6    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap>:986(_find_and_load)
     23/6    0.000    0.000    0.020    0.003 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        1    0.000    0.000    0.019    0.019 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2839(open)
     23/6    0.000    0.000    0.019    0.003 <frozen importlib._bootstrap>:650(_load_unlocked)
       17    0.019    0.001    0.019    0.001 {method 'decode' of 'ImagingDecoder' objects}
     20/6    0.000    0.000    0.019    0.003 <frozen importlib._bootstrap_external>:777(exec_module)
        3    0.000    0.000    0.019    0.006 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:347(preinit)
        1    0.000    0.000    0.018    0.018 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageFile.py:150(load)
     20/6    0.000    0.000    0.014    0.002 {built-in method builtins.exec}
       20    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:849(get_code)
        1    0.008    0.008    0.008    0.008 {method 'astype' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:969(get_data)
       20    0.007    0.000    0.007    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.005    0.005 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2713(fromarray)
        1    0.000    0.000    0.005    0.005 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2660(frombuffer)
        1    0.000    0.000    0.005    0.005 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2616(frombytes)
        1    0.000    0.000    0.004    0.004 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\BmpImagePlugin.py:27(<module>)
